Month,total_sales,total_before_discount,total_discount,sales_growth,discount_rate
2021-01-01,232.0,118470408.5,613932.9,,0.5182162430038384
2021-02-01,200.0,114136199.0,0.0,-13.793103448275868,0.0
2021-03-01,283.0,174921446.0,11600.0,41.5,0.006631548197926514
2021-04-01,123.0,81041700.6,29000.0,-56.53710247349824,0.035784046713353404
2021-05-01,203.0,106922826.0,82922.6,65.04065040650406,0.07755369279147187
2021-06-01,203.0,110392502.0,58000.0,0.0,0.05253980021215571
2021-07-01,528.0,489177295.4,98066.4,160.0985221674877,0.02004721006517916
2021-08-01,538.0,438023772.0,58000.0,1.8939393939394034,0.013241290474983626
2021-09-01,672.0,457668209.6,664790.2,24.907063197026027,0.1452559269041264
2021-10-01,756.0,481800289.9,29000.0,12.5,0.0060190914384918885
2021-11-01,974.0,501196009.0,15595620.58,28.835978835978835,3.111680919230943
2021-12-01,555.0,423289713.0,5800.0,-43.01848049281314,0.001370219927834627
2022-01-01,776.0,435449392.7,424641.78,39.81981981981981,0.09751805539720988
2022-02-01,622.0,363023450.0,203883.34,-19.845360824742265,0.05616258123269998
2022-03-01,841.0,502142525.5,802169.0,35.20900321543407,0.15974926624691937
2022-04-01,1132.0,681096552.0,2180080.8,34.601664684898935,0.32008395778811694
2022-05-01,659.0,533352280.26,3767942.74,-41.78445229681979,0.7064641662660922
2022-06-01,743.0,392611228.38,2251938.16,12.746585735963588,0.5735796628364377
2022-07-01,580.0,447101131.02,2302908.56,-21.938088829071333,0.5150755388934556
2022-08-01,1231.0,687665168.0,319784.74,112.24137931034481,0.04650297192310313
2022-09-01,1175.0,660452467.0,127618.56,-4.5491470349309555,0.019322898524353607
2022-10-01,159.0,124809272.0,323149.9,-86.46808510638297,0.2589149786884423
2022-11-01,183.0,143765064.0,890001.88,15.094339622641506,0.6190668687074072
2022-12-01,159.0,110949360.0,2393964.5,-13.11475409836066,2.1577091566819315
